ClientID,rank,Produit,proba
1,1,CREDITS COMMERCIAUX (AS),0.5287994017035863
1,2,POLICE A ALIMENTER(CORPS DE PECHE),0.11742450606330833
1,3,SANTE ET PREVOYANCE,0.02704255384870793
2,1,POLICE AU VOYAGE(FACULTE TERRESTRE),0.22855285372141887
2,2,MULTIRISQUES INFORMATIQUES,0.184484790203332
2,3,AUTOMOBILE ASSURANCE FRONTIERE TEMPORAIRE,0.05081576805880379
3,1,OMNICANAL AUTOMOBILE PACK3,0.3408577056589192
3,2,SANTE ET PREVOYANCE,0.22820971240118573
3,3,AUTOMOBILE ASSURANCE FRONTIERE TEMPORAIRE,0.09833217951492766
4,1,SANTE ET PREVOYANCE,0.3258991694258419
4,2,AUTOMOBILE,0.19191922655589527
4,3,POLICE A ALIMENTER(CORPS DE PECHE),0.040704186833103576
5,1,SANTE ET PREVOYANCE,0.5445348598962497
5,2,DHAMEN SFDGUI,0.022633453708315817
5,3,INCENDIE LOGEMENTS  BTE,0.019215140753643226
6,1,POLICE ABONNEMENT(FACULTE MARITIME),0.8020287017973471
6,2,POLICE AU VOYAGE(CORPS DE PLAISANCE),0.06282144484235294
6,3,SANTE ET PREVOYANCE,0.05105872411304686
7,1,INCENDIE RISQUES SIMPLE AMICALE,0.3536151254848783
7,2,SANTE ET PREVOYANCE,0.15096564146468106
7,3,TOUS RISQUES MONTAGE,0.10588770848275918
8,1,R.C PARTICULIER-CHEF DE FAMILLE- MAITRE DE MAISON,0.463286311176993
8,2,POLICE ABONNEMENT(CORPS DE CONSTRUCTION NAVAL),0.19292169989615143
8,3,AUTOMOBILE ASSURANCE FRONTIERE TEMPORAIRE,0.03200821568878883
9,1,RC ASSOCIATION SPORTIVES,0.6469487080457146
9,2,BRIS DE MACHINES,0.07416986144368226
9,3,SANTE ET PREVOYANCE,0.06955342815703319
10,1,POLICE AU VOYAGE(FACULTE MARITIME),0.7426844157673941
10,2,SANTE ET PREVOYANCE,0.08999680599096474
10,3,POLICE ABONNEMENT(FACULTE TERRESTRE),0.03755602798927408
11,1,SANTE ET PREVOYANCE,0.32899717388807415
11,2,PACK BASIC+,0.07857418369057731
11,3,INCENDIE RISQUES SIMPLE CENTRALISE,0.04558361933207369
12,1,TOUS RISQUES CHANTIER,0.3293329149788878
12,2,SANTE ET PREVOYANCE,0.14438689642926592
12,3,AUTOMOBILE DOUANE,0.11033536757648708
13,1,POLICE ABONNEMENT(FACULTE AERIEN),0.28185230861167226
13,2,SANTE ET PREVOYANCE,0.1702735899122886
13,3,CREDITS COMMERCIAUX B.H,0.0570533129960064
14,1,SANTE ET PREVOYANCE,0.4434310105746507
14,2,ENGINS DE CHANTIERS,0.1412183244084661
14,3,CARTES BANCAIRES,0.012594665354975276
15,1,MULTIRISQUES PROFESSIONNELLES CENTRALISE,0.2552992914523139
15,2,SANTE ET PREVOYANCE,0.22562497687902822
15,3,TOUS RISQUES MONTAGE,0.12276415524988181
16,1,BRIS DE MACHINES,0.40414860604779257
16,2,OMNICANAL AUTOMOBILE PACK1,0.13726331234818742
16,3,POLICE A ALIMENTER(CORPS DE PECHE),0.07219077029236513
17,1,BRIS DE MACHINES,0.36741212409914814
17,2,MULTIRISQUES INFORMATIQUES,0.20801477615062144
17,3,SANTE ET PREVOYANCE,0.1781639468841412
18,1,ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON (AS),0.43232449144407964
18,2,SANTE ET PREVOYANCE,0.14345746539923254
18,3,AUTOMOBILE II,0.05535650466149656
19,1,RESPONSABILITE DECENNALE,0.2050428120857178
19,2,SANTE ET PREVOYANCE,0.1960946229910474
19,3,PACK DOMMAGE ET COLLISION,0.17988942947773656
20,1,ASSISTANCES EN VOYAGES LEONI,0.6625083529492783
20,2,MULTIRISQUES INFORMATIQUES,0.06638984394625316
20,3,SANTE ET PREVOYANCE,0.022883996987628084
21,1,SANTE ET PREVOYANCE,0.4140486626174865
21,2,POLICE AU VOYAGE(FACULTE TERRESTRE),0.11524837735671864
21,3,TEMPORAIRE DECES CFE,0.022778740239862927
22,1,OMNICANAL AUTOMOBILE PACK PERSONALISE,0.6108084304525659
22,2,RESPONSABILITE DECENNALE,0.04697930379653257
22,3,SANTE ET PREVOYANCE,0.02757296102809838
23,1,POLICE AU VOYAGE(CORPS DE TOUT NAVIRES),0.5897155397431553
23,2,RESPONSABILITE DECENNALE,0.0956635909335365
23,3,POLICE ABONNEMENT(CORPS DE PLAISANCE),0.04683901114105878
24,1,RENTE EDUCATION (AS),0.23143050636329043
24,2,SANTE ET PREVOYANCE,0.06780724359464808
24,3,MIXTE REVALORISABLE (AS),0.020636792730349737
25,1,MULTIRISQUES HABITATIONS OCCUPANT (BH),0.4421945726501877
25,2,BRIS DE MACHINES,0.09872031700047643
25,3,MULTIRISQUES INFORMATIQUES,0.04629506057565008
26,1,R.C MEDECIN,0.7710307419806609
26,2,POLICE AU VOYAGE(CORPS DE PECHE),0.06383037002056195
26,3,ENGINS DE CHANTIERS,0.024283951078380387
27,1,PACK BASIC,0.2482263897876025
27,2,SANTE ET PREVOYANCE,0.1633763434898268
27,3,TOUS RISQUES CHANTIER,0.15074331885904058
28,1,INDIVIDUELLE ACCIDENTS AMICALE,0.4968866576347061
28,2,SANTE ET PREVOYANCE,0.09347647230460326
28,3,AUTOMOBILE II,0.06416112400899575
29,1,ASSISTANCE PROTECTION JURIDIQUE,0.6597911941822788
29,2,SANTE ET PREVOYANCE,0.06450768794044758
29,3,ENGINS DE CHANTIERS,0.0621981594678787
30,1,SANTE ET PREVOYANCE,0.6625105067213963
30,2,PACK BASIC,0.032255521102490595
30,3,DEGATS DES EAUX,0.01188450072465117
31,1,MULTIRISQUES HABITATIONS NON OCCUPANT,0.7781516860527667
31,2,SANTE ET PREVOYANCE,0.01812296128421188
31,3,TEMPORAIRE DECES A CAPITAL DECROISSANT LINEAIREMENT (BTE),0.010340547969804458
32,1,POLICE AU VOYAGE(FACULTE TERRESTRE),0.3462755819643804
32,2,RESPONSABILITE DECENNALE,0.19946857618525424
32,3,SANTE ET PREVOYANCE,0.03589392952185963
33,1,POLICE ABONNEMENT(CORPS DE TOUT NAVIRES),0.4973210752907738
33,2,POLICE AU VOYAGE(CORPS DE TOUT NAVIRES),0.09159185879233907
33,3,SANTE ET PREVOYANCE,0.031048839847077816
34,1,TEMPORAIRE DECES CFE,0.1171850324567554
34,2,SANTE ET PREVOYANCE,0.07291439005947445
34,3,CREDITS FONAPRA FOPRODI (AS),0.030846754728766662
35,1,INCENDIE LOGEMENTS  BTE,0.5593008621923199
35,2,SANTE ET PREVOYANCE,0.08700069077821566
35,3,PACK TOUS RISQUES SANS FRANCHISE,0.06670257504402083
36,1,DHAMEN SFDGUI,0.5334937670120395
36,2,SANTE ET PREVOYANCE,0.23917192866064646
36,3,PACK BASIC,0.06000123804542352
37,1,SANTE ET PREVOYANCE,0.46895232527338465
37,2,TOUS RISQUES MONTAGE,0.08091179277333829
37,3,POLICE A ALIMENTER(CORPS DE CONSTRUCTION NAVAL),0.0675913941284318
38,1,AUTOMOBILE ASSURANCE FRONTIERE TEMPORAIRE,0.23063412481574594
38,2,MULTIRISQUES INFORMATIQUES,0.12269294339287674
38,3,SANTE ET PREVOYANCE,0.09463601566716702
39,1,SANTE ET PREVOYANCE,0.350896020356791
39,2,ENGINS DE CHANTIERS,0.26263137812326637
39,3,R.C CHEF DE FAMILLE DETENTEUR D UN ANIMAL DOMESTIQUE,0.01574126259770811
40,1,POLICE AU VOYAGE(CORPS DE PLAISANCE),0.3599907069961299
40,2,SANTE ET PREVOYANCE,0.22848771908403243
40,3,MULTIRISQUES HABITATIONS OCCUPANT (BH),0.05070337563876448
41,1,"RC EXPLOITATION DE THEATRE,CINEMA,SALLES DE CONCERTS, DE CONFEREN?CES ET DE SPECTACLES",0.5908958696442078
41,2,SANTE ET PREVOYANCE,0.15717247708719878
41,3,ENGINS DE CHANTIERS,0.06884807959875604
42,1,POLICE A ALIMENTER(CORPS DE PECHE),0.17911232994096005
42,2,ASSURANCE VIE COMPLEMENT RETRAITE - HORIZON+ (AS),0.09018749724581474
42,3,SANTE ET PREVOYANCE,0.059470607740318926
43,1,MULTIRISQUES PROFESSIONNELLES CENTRALISE,0.28956163984036687
43,2,SANTE ET PREVOYANCE,0.14727823805297727
43,3,AUTOMOBILE LEASING,0.10318723015734266
44,1,MULTIRISQUES HABITATIONS OCCUPANT (BH),0.4995674029514683
44,2,PACK TOUS RISQUES AVEC FRANCHISE,0.15414859657271754
44,3,AUTOMOBILE II,0.027717904717578956
45,1,PACK TOUS RISQUES AVEC FRANCHISE,0.5190278514479172
45,2,SANTE ET PREVOYANCE,0.13636091594122973
45,3,MULTIRISQUES INFORMATIQUES,0.10065225074649319
46,1,RESPONSABILITE DECENNALE,0.37452413558440734
46,2,POLICE ABONNEMENT(FACULTE MARITIME),0.1275420174401383
46,3,SANTE ET PREVOYANCE,0.12591219954290356
47,1,SANTE ET PREVOYANCE,0.23434183980405318
47,2,TOUS RISQUES CHANTIER,0.17747844679733746
47,3,AUTOMOBILE TUNISIE TELECOM,0.06254991068486013
48,1,POLICE A ALIMENTER(CORPS DE PLAISANCE),0.833597502766589
48,2,SANTE ET PREVOYANCE,0.03925750814565257
48,3,POLICE A ALIMENTER(CORPS DE CONSTRUCTION NAVAL),0.03906583885227955
49,1,SANTE ET PREVOYANCE,0.07508539425707367
49,2,MIXTE REVALORISABLE (AS),0.0708652782911975
49,3,DEGATS DES EAUX,0.04185507994259845
50,1,AUTOMOBILE II,0.6314832929043291
50,2,SANTE ET PREVOYANCE,0.030878871805863885
50,3,INCENDIE LOGEMENTS  BTE,0.013966179443625121
51,1,INDIVIDUELLE ACCIDENTS AMICALE,0.649310760252306
51,2,BRIS DE MACHINES,0.06242850358021593
51,3,PACK TOUS RISQUES AVEC FRANCHISE,0.03676980396175911
52,1,RESPONSABILITE DECENNALE,0.38768799142854804
52,2,POLICE A ALIMENTER(FACULTE TERRESTRE),0.1890624055875377
52,3,TOUS RISQUES CHANTIER,0.08926136010799114
53,1,RC EXPLOITATION PARKING PAYANT POUR AUTOMOBILES,0.38921368941037143
53,2,RESPONSABILITE DECENNALE,0.17184249932149814
53,3,ENGINS DE CHANTIERS,0.0951798850954444
54,1,AUTOMOBILE LEASING,0.7240348375460393
54,2,POLICE A ALIMENTER(CORPS DE TOUT NAVIRES),0.13140928906651747
54,3,SANTE ET PREVOYANCE,0.012446749642679129
55,1,SANTE ET PREVOYANCE,0.30930148688255127
55,2,MULTIRISQUES INFORMATIQUES,0.048163310087873716
55,3,POLICE A ALIMENTER(FACULTE MARITIME),0.021360253334620966
56,1,CREDITS COMMERCIAUX B.H,0.49315917568750467
56,2,RESPONSABILITE DECENNALE,0.06121494457903836
56,3,SANTE ET PREVOYANCE,0.038216446236856445
57,1,R.C GARDERIE ET JARDIN D ENFANTS,0.6689553117252188
57,2,SANTE ET PREVOYANCE,0.19258564183657226
57,3,POLICE A ALIMENTER(FACULTE TERRESTRE),0.008780514568331847
58,1,SANTE ET PREVOYANCE,0.3271215662468756
58,2,POLICE ABONNEMENT(FACULTE MARITIME),0.17108590676217203
58,3,RC HOTELIERS,0.03182512041768195
59,1,TEMPORAIRE DECES TAYSIR MICROFINANCE,0.4804074060261039
59,2,SANTE ET PREVOYANCE,0.1769908150877417
59,3,MULTIRISQUES INFORMATIQUES,0.1505918860708505
60,1,MIXTE REVALORISABLE (AS),0.5062469269113336
60,2,AUTOMOBILE AMICALE,0.04521482821312084
60,3,SANTE ET PREVOYANCE,0.034398111476470754
